User Full Name *Anonymized,Component,Action,Target
129,Assignment,Viewed,Assignment
92,Assignment,Viewed,Submission_state
92,Assignment,Viewed,Assignment
129,Assignment,Viewed,Submission_state
92,System,Viewed,Content
128,System,Viewed,Content
31,Course,Viewed,Content
92,Assignment,Viewed,Submission_state
92,Assignment,Viewed,Assignment
128,Test,Viewed,Activity
92,System,Viewed,Content
128,System,Viewed,Content
31,Lecture,Viewed,Submission_state
31,Lecture,Viewed,Assignment
92,Assignment,Viewed,Submission_state
92,Assignment,Viewed,Assignment
110,Course,Viewed,Content
128,Test,Viewed,Activity
92,System,Viewed,Content
128,System,Viewed,Content
129,Course,Viewed,Content
110,Assignment,Viewed,Submission_status
110,Assignment,Viewed,Assignment
129,Lecture,Viewed,Submission_status
129,Lecture,Viewed,Activity
129,Lecture,Updated,Completion_state
48,Assignment,Viewed,Submission_status
48,Assignment,Viewed,Assignment
31,Course,Viewed,Content
40,System,Viewed,Content
129,Assignment,Viewed,Submission_state
129,Assignment,Viewed,Assignment
57,Course,Viewed,Content
129,Course,Viewed,Content
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
31,Assignment,Viewed,Assignment
31,Assignment,Viewed,Submission_state
129,Assignment,Viewed,Submission_state
129,Assignment,Viewed,Assignment
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Feedback
57,Assignment,Viewed,Assignment
31,Assignment,Viewed,Submission
31,Assignment,Viewed,Assignment
59,Course,Viewed,Content
129,Course,Viewed,Course
31,Assignment,Viewed,Assignment
31,Assignment,Submitted,Submission
31,Assignment,Updated,File_submission
31,Assignment,Uploaded,File_submission
31,Assignment,Viewed,Assignment
148,Folder,Viewed,Folder
31,Assignment,Viewed,Submission_state
129,Course,Viewed,Content
122,Course,Viewed,Course
122,Lecture,Viewed,Submission_status
122,Lecture,Viewed,Activity
122,Lecture,Updated,Completion_state
122,Course,Viewed,Course
148,Course,Viewed,Content
129,Course,Viewed,Content
31,Course,Viewed,Content
122,Survey,Viewed,Choice
94,Course,Viewed,Content
31,Assignment,Viewed,Submission_state
31,Assignment,Viewed,Assignment
94,Assignment,Viewed,Submission
94,Assignment,Viewed,Assignment
122,Survey,Viewed,Choice
122,Survey,Answered,Option
31,Course,Viewed,Content
122,Course,Viewed,Course
31,Assignment,Viewed,Submission_state
31,Assignment,Viewed,Assignment
31,Course,Viewed,Content
94,Assignment,Submitted,Submission
94,Assignment,Updated,File_submission
94,Assignment,Uploaded,File_submission
94,Assignment,Viewed,Assignment
31,Assignment,Viewed,Submission_state
31,Assignment,Viewed,Assignment
94,Assignment,Viewed,Submission_status
94,Assignment,Viewed,Assignment
122,Study_material,Viewed,Folder
54,Course,Viewed,Content
122,Course,Viewed,Course
122,Lecture,Viewed,Submission_status
122,Lecture,Viewed,Activity
54,Test,Viewed,Activity
94,Manual,Viewed,Resource
94,Manual,Viewed,Resource
83,Course,Viewed,Content
128,Course,Viewed,Content
83,Course,Viewed,Content
57,Manual,Viewed,Resource
122,Assignment,Viewed,Submission_status
122,Assignment,Viewed,Feedback
122,Assignment,Viewed,Activity
16,Lecture,Viewed,Activity
16,Lecture,Viewed,Submission 
107,Course,Viewed,Content
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
41,Assignment,Viewed,Submission 
41,Assignment,Viewed,Activity
129,Course,Viewed,Content
110,Course,Viewed,Content
57,Quiz,Viewed,Activity
57,Quiz,Reviewed,Attempt
61,Lecture,Viewed,Submission_status
61,Lecture,Viewed,Activity
61,Lecture,Updated,Completion_state
41,Assignment,Submitted,File_submission 
41,Assignment,Updated,Completion_state
41,Assignment,Created,File_submission 
41,Assignment,Uploaded,File_submission 
41,Assignment,Viewed,Activity
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
41,Course,Viewed,Course
129,Assignment,Viewed,Submission_status
129,Assignment,Viewed,Assignment
128,System,Viewed,Content
128,Page,Viewed,Page
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Feedback
41,Assignment,Viewed,Activity
128,Assignment,Viewed,Assignment
128,Assignment,Viewed,Submission_state
148,Survey,Viewed,Choice
41,Assignment,Viewed,Submission 
41,Assignment,Viewed,Activity
94,Test,Viewed,Activity
128,Course,Viewed,Content
128,Assignment,Viewed,Assignment
128,Assignment,Viewed,Submission_state
129,Course,Viewed,Content
41,Course,Viewed,Course
41,Survey,Viewed,Choice
60,Course,Viewed,Content
129,Course,Viewed,Content
94,Course,Viewed,Content
128,System,Viewed,Content
16,Lecture,Viewed,Submission_status
16,Lecture,Viewed,Activity
16,Lecture,Submitted,File_submission 
16,Lecture,Updated,Completion_state
16,Lecture,Created,File_submission 
16,Lecture,Uploaded,Submission_text
16,Lecture,Viewed,Activity
37,Assignment,Viewed,Submission_status
37,Assignment,Viewed,Assignment
37,System,Updated,Completion_state
94,Course,Viewed,Content
60,Course,viewed,content
60,Study_material,Viewed,Folder
94,Quiz,Viewed,Activity
94,Quiz,Reviewed,Attempt
60,Course,Viewed,Content
94,Test,Viewed,Activity
60,Study_material,Viewed,Folder
83,Course,Viewed,Content
83,Course,Viewed,Content
110,Course,Viewed,Content
94,Course,Viewed,Content
94,Test,Viewed,Activity
83,Lecture,Viewed,Submission_status
83,Lecture,Viewed,Assignment
83,Lecture,Viewed,Submission_status
83,Lecture,Viewed,Assignment
94,Course,Viewed,Content
110,Course,Viewed,Course
83,Lecture,Viewed,Assignment
83,Lecture,Viewed,Submission
83,Lecture,Viewed,Assignment
83,Lecture,Viewed,Submission
107,Assignment,Viewed,Assignment
107,Assignment,Viewed,Submission_status
110,Course,Viewed,Content
107,Course,Viewed,Content
125,System,Viewed,Content
19,Assignment,Viewed,Submission_status
19,Assignment,Viewed,Feedback
19,Assignment,Viewed,Activity
94,Study_material,Viewed,Folder
125,Assignment,Viewed,Assignment
125,Assignment,Viewed,Submission_state
125,System,Viewed,Content
125,Test,Viewed,Activity
125,System,Viewed,Content
125,Assignment,Viewed,Submission_state
125,Assignment,Viewed,Assignment
2,System,Viewed,Content
41,Survey,Viewed,Choice
125,System,Viewed,Content
125,Folder,Viewed,Folder
2,Assignment,Viewed,Submission_status
2,Assignment,Viewed,Assignment
114,Course,Viewed,Content
148,Assignment,Viewed,Submission_state
148,Assignment,Viewed,Feedback
148,Assignment,Viewed,Assignment
129,System,Viewed,Content
148,Assignment,Viewed,Submission_state
148,Assignment,Viewed,Feedback
148,Assignment,Viewed,Assignment
148,Assignment,Viewed,Submission_state
148,Assignment,Viewed,Feedback
148,Assignment,Viewed,Assignment
129,Folder,Viewed,Folder
148,Assignment,Viewed,Submission_state
148,Assignment,Viewed,Feedback
148,Assignment,Viewed,Assignment
131,Course,Viewed,Content
128,Lecture,Viewed,Submission_status
128,Lecture,Viewed,Activity
94,Test,Viewed,Activity
131,Quiz,Viewed,Activity
131,Quiz,Reviewed,Attempt
57,Quiz,Viewed,Activity
94,Course,Viewed,Page
57,Quiz,Reviewed,Attempt
128,Assignment,Viewed,Submission_status
128,Assignment,Viewed,Activity
2,Assignment,Viewed,Assignment
2,Assignment,Viewed,Submission
131,Course,Viewed,Content
131,Quiz,Viewed,Activity
131,Quiz,Reviewed,Attempt
94,Course,Viewed,Content
94,Course,Viewed,Content
94,Manual,Viewed,Resource
143,Assignment,Viewed,Assignment
143,Assignment,Viewed,Submission_state
131,Course,Viewed,Content
129,System,Viewed,Content
143,Course,Viewed,Content
131,Quiz,Viewed,Activity
131,Course,Viewed,Content
143,Assignment,Viewed,Submission_state
143,Assignment,Viewed,Assignment
143,Course,Viewed,Content
59,Course,Viewed,Content
2,Assignment,Viewed,Assignment
2,Assignment,Viewed,Submission_status
2,Assignment,Viewed,Assignment
2,Assignment,Submitted,Submission
2,System,Updated,Completion_state
2,Assignment,Created,File_submission
2,Assignment,Uploaded,File_submission
94,Course,Viewed,Page
47,Assignment,Viewed,Assignment
47,Assignment,Viewed,Submission_state
47,Assignment,Viewed,Feedback
9,Course,Viewed,Content
9,Course,Viewed,Content
9,Course,Viewed,Content
9,Course,Viewed,Content
9,Course,Viewed,Content
9,Study_material,Viewed,Folder
125,Course,Viewed,Content
125,Manual,Viewed,Resource
75,Course,Viewed,Content
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Feedback
41,Assignment,Viewed,Activity
41,Assignment,Submitted,File_submission 
41,Assignment,Updated,Completion_state
41,Assignment,Created,File_submission 
41,Assignment,Uploaded,File_submission 
41,Assignment,Viewed,Activity
75,Assignment,Viewed,Submission_state
75,Assignment,Viewed,Assignment
41,Course,Viewed,Course
75,Course,Viewed,Content
75,Assignment,Viewed,Submission_state
75,Assignment,Viewed,Assignment
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
75,Course,Viewed,Content
41,Course,Viewed,Course
63,System,Viewed,Content
41,Study_material,Updated,Completion_state
63,Test,Viewed,Activity
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
41,Course,Viewed,Course
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
41,Course,Viewed,Course
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Feedback
41,Assignment,Viewed,Activity
25,Course,Viewed,Content
137,Course,Viewed,Course
137,Assignment,Viewed,Submission_status
137,Assignment,Viewed,Feedback
137,Assignment,Viewed,Activity
25,Assignment,Viewed,Submission_state
25,Assignment,Viewed,Assignment
137,Assignment,Viewed,Submission 
137,Assignment,Viewed,Activity
25,Assignment,Viewed,Assignment
25,Assignment,Viewed,Submission
57,Quiz,Viewed,Activity
137,Assignment,Viewed,Submission_status
137,Assignment,Viewed,Feedback
137,Assignment,Viewed,Activity
137,Assignment,Submitted,File_submission 
137,Assignment,Updated,Completion_state
137,Assignment,Created,File_submission 
137,Assignment,Uploaded,File_submission 
137,Assignment,Viewed,Activity
57,Quiz,Reviewed,Attempt
41,Course,Viewed,Course
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Activity
19,System,Viewed,Content
41,Assignment,Viewed,Submission_status
41,Assignment,Viewed,Feedback
41,Assignment,Viewed,Activity
153,Assignment,Viewed,Assignment
153,Assignment,Viewed,Submission_state
153,Assignment,Viewed,Feedback
153,Assignment,Viewed,Submission_state
153,Assignment,Viewed,Feedback
153,Assignment,Viewed,Assignment
19,Page,Viewed,Page
57,Quiz,Viewed,Activity
57,Quiz,Reviewed,Attempt
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
57,Assignment,Viewed,Submission_state
57,Assignment,Viewed,Assignment
57,Study_material,Viewed,Folder
68,Course,Viewed,Content
143,Assignment,Viewed,Submission_state
143,Assignment,Viewed,Assignment
143,Course,Viewed,Content
42,Course,Viewed,Content
57,Quiz,Viewed,Activity
72,Course,Viewed,Course
68,Assignment,Viewed,Submission_state
68,Assignment,Viewed,Assignment
42,Assignment,Viewed,Assignment
42,Assignment,Viewed,Submission_state
42,Course,Viewed,Content
42,Assignment,Viewed,Assignment
42,Assignment,Viewed,Submission_state
141,Course,Viewed,Content
42,Course,Viewed,Content
6,System,Viewed,Content
6,System,Viewed,Content
42,Assignment,Viewed,Submission_state
42,Assignment,Viewed,Assignment
42,Course,Viewed,Content
43,System,Viewed,Content
42,Assignment,Viewed,Assignment
72,Course,Viewed,Course
42,Assignment,Viewed,Submission
31,Course,Viewed,Course
43,Assignment,Viewed,Submission_status
43,Assignment,Viewed,Assignment
42,Assignment,Viewed,Submission_state
42,Assignment,Viewed,Assignment
42,Assignment,Submitted,Submission
42,Assignment,Updated,File_submission
42,Assignment,Uploaded,File_submission
42,Assignment,Viewed,Assignment
31,Lecture,Viewed,Submission_status
31,Lecture,Viewed,Activity
31,Lecture,Updated,Completion_state
21,Course,Viewed,Course
19,System,Viewed,Content
21,Attendence,Viewed,Report
16,Quiz,Reviewed,Attempt
19,Assignment,Viewed,Submission_state
19,Assignment,Viewed,Assignment
94,Quiz,Viewed,Activity
94,Quiz,Reviewed,Attempt
16,Course,Viewed,Content
43,System,Viewed,Content
19,System,Viewed,Content
40,Course,Viewed,Content
16,Assignment,Viewed,Submission_state
16,Assignment,Viewed,Assignment
21,Course,Viewed,Course
16,Quiz,Reviewed,Attempt
122,System,Viewed,Content
122,Assignment,Viewed,Submission_status
122,Assignment,Viewed,Assignment
144,Course,Viewed,Course
122,System,Viewed,Content
122,Assignment,Viewed,Submission_status
122,Assignment,Viewed,Assignment
122,System,Viewed,Content
21,Assignment,Viewed,Submission_status
21,Assignment,Viewed,Activity
144,Assignment,Viewed,Submission_status
144,Assignment,Viewed,Activity
21,Course,Viewed,Course
25,Assignment,Viewed,Submission_state
25,Assignment,Viewed,Assignment
25,Assignment,Submitted,Submission
25,Assignment,Updated,Completion_state
25,Assignment,Submitted,File_submission
25,Assignment,Uploaded,File_submission
25,Assignment,Viewed,Assignment
122,Assignment,Viewed,Assignment
122,Assignment,Viewed,Submission_status
122,Assignment,Viewed,Feedback
66,Course,Viewed,Content
122,System,Viewed,Content
43,Folder,Viewed,Folder
122,Quiz,Viewed,Quiz
66,Assignment,Viewed,Assignment
66,Assignment,Viewed,Submission_state
122,System,Viewed,Content
110,System,Viewed,Content
18,Assignment,Viewed,Assignment
18,Assignment,Viewed,Submission_state
25,Course,Viewed,Content
25,Assignment,Viewed,Submission_state
25,Assignment,Viewed,Feedback
25,Assignment,Viewed,Assignment
31,Lecture,Viewed,Activity
31,Lecture,Viewed,Submission 
31,Lecture,Viewed,Activity
31,Lecture,Viewed,Submission 
122,System,Viewed,Content
22,Lecture,Viewed,Assignment
22,Lecture,Updated,Completion_state
22,Lecture,Viewed,Submission_state
84,System,Viewed,Content
19,Page,Viewed,Page
84,Assignment,Viewed,Assignment
84,Assignment,Viewed,Submission_state
84,System,Viewed,Content
19,System,Viewed,Content
19,System,Viewed,Content
19,System,Viewed,Content
84,Assignment,Viewed,Assignment
84,Assignment,Viewed,Submission_state
84,Assignment,Viewed,Feedback
22,Course,Viewed,Content
153,Course,Viewed,Content
84,System,Viewed,Content
84,Assignment,Viewed,Submission_state
84,Assignment,Viewed,Assignment
19,Assignment,Viewed,Submission_state
19,Assignment,Viewed,Assignment
25,Course,Viewed,Content
84,System,Viewed,Content
19,Assignment,Viewed,Submission_state
19,Assignment,Viewed,Feedback
19,Assignment,Viewed,Assignment
83,Lecture,Viewed,Assignment
25,Assignment,Viewed,Assignment
83,Lecture,Viewed,Submission_state
25,Assignment,Viewed,Submission_state
72,Assignment,Viewed,Submission_status
72,Assignment,Viewed,Activity
72,Assignment,Viewed,Activity
37,Survey,Viewed,Choice
72,Assignment,Viewed,Submission 
72,Assignment,Viewed,Activity
72,Assignment,Submitted,File_submission 
72,Assignment,Updated,Completion_state
72,Assignment,Created,File_submission 
72,Assignment,Uploaded,File_submission 
72,Assignment,Viewed,Activity
72,Assignment,Viewed,Submission_status
66,Course,Viewed,Content
83,Lecture,Viewed,Assignment
83,Lecture,Viewed,Assignment
83,Lecture,Viewed,Submission
83,Lecture,Viewed,Submission
122,System,Viewed,Content
68,Assignment,Viewed,Submission
68,Assignment,Viewed,Assignment
68,Assignment,Submitted,Submission
68,Assignment,Submitted,File_submission
68,Assignment,Uploaded,File_submission
68,Assignment,Viewed,Assignment
68,Assignment,Viewed,Submission_state
68,Assignment,Viewed,Assignment
21,Course,Viewed,Content
123,Course,Viewed,Content
21,Attendence,Viewed,Session
94,Quiz,Viewed,Activity
94,Quiz,Reviewed,Attempt
21,Course,Viewed,Content
15,System,Viewed,Content
128,Lecture,Viewed,Activity
128,Lecture,Viewed,Submission_status
123,Assignment,Viewed,Submission_status
123,Assignment,Viewed,Assignment
15,Quiz,Viewed,Quiz
15,System,Viewed,Content
21,Course,Viewed,Content
107,Course,Viewed,Content
123,Course,Viewed,Content
15,Assignment,Viewed,Submission_status
15,Assignment,Viewed,Assignment
123,Assignment,Viewed,Assignment
123,Assignment,Viewed,Submission_status
15,System,Viewed,Content
107,Lecture,Viewed,Assignment
107,Lecture,Viewed,Submission_state
21,Assignment,Viewed,Submission_state
21,Assignment,Viewed,Assignment
123,Course,Viewed,Content
21,Course,Viewed,Content
123,Assignment,Viewed,Assignment
123,Assignment,Viewed,Submission_status
123,Assignment,Viewed,Feedback
45,Lecture,Viewed,Assignment
45,Lecture,Viewed,Submission_state
123,Course,Viewed,Content
15,Assignment,Viewed,Assignment
15,Assignment,Viewed,Submission_status
21,Attendence,Viewed,Session
9,Course,Viewed,Content
21,Attendence,Viewed,Session
57,Course,Viewed,Content
9,Assignment,Viewed,Assignment
9,Assignment,Viewed,Submission_status
45,Course,Viewed,Content
21,Attendence,Viewed,Session
123,Assignment,Viewed,Submission_status
123,Assignment,Viewed,Assignment
21,Attendence,Viewed,Session
21,Course,Viewed,Content
45,Assignment,Viewed,Assignment
45,Assignment,Viewed,Submission_state
21,Assignment,Viewed,Assignment
21,Assignment,Viewed,Submission_state
21,Course,Viewed,Content
57,Assignment,Viewed,Assignment
57,Assignment,Viewed,Submission_status
45,Course,Viewed,Content
57,Assignment,Viewed,Assignment
57,Assignment,Viewed,Submission_status
21,Assignment,Viewed,Assignment
45,Assignment,Viewed,Assignment
45,Assignment,Viewed,Submission_state
21,Assignment,Viewed,Submission_state
45,Course,Viewed,Content
45,Assignment,Viewed,Assignment
45,Assignment,Viewed,Feedback
45,Assignment,Viewed,Submission_state
45,Course,Viewed,Content
21,Attendence,Viewed,Session
21,Attendence,Viewed,Session
45,Test,Viewed,Activity
21,Attendence,Viewed,Session
45,Course,Viewed,Content
69,Course,Viewed,Content
109,Course,Viewed,Content
69,Assignment,Viewed,Submission_state
69,Assignment,Viewed,Assignment
94,Study_material,Viewed,Folder
109,Assignment,Viewed,Submission_state
109,Assignment,Viewed,Assignment
48,Assignment,Viewed,Submission_state
48,Assignment,Viewed,Assignment
109,Assignment,Viewed,Submission_state
109,Assignment,Viewed,Assignment
69,Course,Viewed,Content
109,Assignment,Viewed,Assignment
69,Assignment,Viewed,Submission_state
69,Assignment,Viewed,Assignment
109,Assignment,Viewed,Submission_state
14,Assignment,Viewed,Submission_state
14,Assignment,Viewed,Assignment
109,Assignment,Viewed,Assignment
109,Assignment,Viewed,Submission_state
109,Assignment,Viewed,Submission_state
109,Assignment,Viewed,Assignment
109,Assignment,Viewed,Assignment
109,Assignment,Viewed,Submission_state
93,System,Viewed,Content
93,Folder,Viewed,Folder
40,Course,Viewed,Course
59,Course,Viewed,Content
93,Folder,Viewed,Folder
129,Course,Viewed,Content
18,Course,Viewed,Content
126,Course,Viewed,Content
95,Test,Viewed,Activity
126,Lecture,Viewed,Submission_state
126,Lecture,Viewed,Assignment
126,Course,Viewed,Content
126,Survey,Viewed,Choice
126,Course,Viewed,Content
5,Course,Viewed,Content
5,Assignment,Viewed,Assignment
5,Assignment,Viewed,Submission_status
107,Lecture,Viewed,Assignment
107,Lecture,Viewed,Submission
5,Assignment,Viewed,Submission
5,Assignment,Viewed,Assignment
107,Lecture,Viewed,Assignment
107,Lecture,Viewed,Assignment
107,Lecture,Submitted,File_submission 
107,Lecture,Submitted,Submission
107,Lecture,Viewed,Submission_state
107,Lecture,Uploaded,Submission_text
143,System,Viewed,Content
5,Assignment,Viewed,Assignment
5,Assignment,Submitted,Submission
5,Assignment,Updated,Completion_state
5,Assignment,Created,File_submission
5,Assignment,Uploaded,File_submission
5,Assignment,Viewed,Assignment
5,Assignment,Viewed,Submission_status
143,Assignment,Viewed,Assignment
143,Assignment,Viewed,Submission_state
143,System,Viewed,Content
19,System,Viewed,Content
143,Assignment,Viewed,Submission_state
143,Assignment,Viewed,Assignment
143,System,Viewed,Content
