Date,Time,User Full Name *Anonymized,Component,Action,Target
03/10/2023 00:00, 00:06:12,94,Assignment,Viewed,Submission_state
03/10/2023 00:00, 00:06:12,94,Lecture,Viewed,Submission_status
03/10/2023 00:00, 00:06:12,94,Lecture,Updated,Completion_state
03/10/2023 00:00, 00:06:12,94,Lecture,Viewed,Activity
03/10/2023 00:00, 00:06:04,94,Assignment,Viewed,Submission_status
03/10/2023 00:00, 00:09:26,94,Course,Viewed,Course
03/10/2023 00:00, 00:09:26,94,Assignment,Updated,File_submission
03/10/2023 00:00, 00:09:26,94,Lecture,Updated,Completion_state
03/10/2023 00:00, 00:09:27,94,Attendence,Viewed,Session
03/10/2023 00:00, 00:09:27,94,Assignment,Viewed,Submission_state
03/10/2023 00:00, 00:09:27,94,Lecture,Viewed,Submission_status
03/10/2023 00:00, 00:09:26,94,Lecture,Viewed,Activity
03/10/2023 00:00, 00:09:27,94,Lecture,Updated,Completion_state
03/10/2023 00:00, 00:09:27,94,Lecture,Viewed,Activity
03/10/2023 00:00, 00:09:27,94,Course,Viewed,Course
03/10/2023 00:00, 00:09:27,94,Course,Viewed,Page
03/10/2023 00:00, 00:09:27,94,Quiz,Reviewed,Attempt
03/10/2023 00:00, 00:09:27,94,Quiz,Viewed,Activity
03/10/2023 00:00, 00:09:27,94,Test,Viewed,Activity
03/10/2023 00:00, 00:09:27,94,Assignment,Uploaded,File_submission
03/10/2023 00:00, 00:06:04,94,Lecture,Viewed,Submission_status
03/10/2023 00:00, 00:09:27,94,Assignment,Submitted,Submission
03/10/2023 00:00, 00:09:27,94,Assignment,Updated,File_submission
03/10/2023 00:00, 00:09:26,94,Lecture,Viewed,Submission_status
03/10/2023 00:00, 00:09:26,94,Assignment,Viewed,Submission_state
03/10/2023 00:00, 00:09:26,94,Attendence,Viewed,Session
03/10/2023 00:00, 00:09:27,94,Manual,Viewed,Resource
03/10/2023 00:00, 00:09:27,94,Assignment,Viewed,Submission_status
03/10/2023 00:00, 00:09:27,94,Course,Viewed,Content
03/10/2023 00:00, 00:09:27,94,Study_material,Viewed,Folder
03/10/2023 00:00, 00:09:27,94,Assignment,Viewed,Feedback
03/10/2023 00:00, 00:09:27,94,Assignment,Viewed,Submission
03/10/2023 00:00, 00:09:27,94,System,Viewed,Content
03/10/2023 00:00, 00:09:27,94,Assignment,Viewed,Assignment
04/10/2023 00:00, 00:07:52,59,Course,Viewed,Content
04/11/2023 00:00, 00:40:27,21,Attendence,Viewed,Session
04/11/2023 00:00, 00:40:27,21,Course,Viewed,Content
04/11/2023 00:00, 00:40:27,21,Assignment,Viewed,Submission_status
04/11/2023 00:00, 00:40:27,21,Attendence,Viewed,Report
04/11/2023 00:00, 00:40:27,21,Course,Viewed,Course
04/11/2023 00:00, 00:40:25,21,Assignment,Viewed,Assignment
04/11/2023 00:00, 00:40:27,21,Assignment,Viewed,Submission_state
04/11/2023 00:00, 00:40:27,21,Assignment,Viewed,Activity
04/11/2023 00:00, 00:40:27,21,Assignment,Viewed,Assignment
04/11/2023 00:00, 00:40:32,21,Course,Viewed,Course
04/11/2023 00:00, 00:40:33,21,Assignment,Viewed,Assignment
04/11/2023 00:00, 00:40:33,21,Assignment,Viewed,Submission_state
04/11/2023 00:00, 00:40:33,21,Attendence,Viewed,Session
04/11/2023 00:00, 00:40:33,21,Course,Viewed,Content
04/11/2023 00:00, 00:40:33,21,Assignment,Viewed,Activity
04/11/2023 00:00, 00:40:33,21,Assignment,Viewed,Submission_status
04/11/2023 00:00, 00:40:33,21,Attendence,Viewed,Report
04/11/2023 00:00, 00:40:33,21,Course,Viewed,Course
04/11/2023 00:00, 00:40:32,21,Assignment,Viewed,Assignment
04/11/2023 00:00, 00:40:32,21,Assignment,Viewed,Submission_state
04/11/2023 00:00, 00:40:32,21,Attendence,Viewed,Session
04/11/2023 00:00, 00:40:32,21,Course,Viewed,Content
04/11/2023 00:00, 00:40:32,21,Assignment,Viewed,Activity
04/11/2023 00:00, 00:40:32,21,Assignment,Viewed,Submission_status
04/11/2023 00:00, 00:40:32,21,Attendence,Viewed,Report
04/11/2023 00:00, 00:40:25,21,Attendence,Viewed,Session
04/11/2023 00:00, 00:40:25,21,Course,Viewed,Content
04/11/2023 00:00, 00:40:25,21,Assignment,Viewed,Submission_state
04/11/2023 00:00, 00:40:25,21,Assignment,Viewed,Submission_status
04/11/2023 00:00, 00:40:25,21,Assignment,Viewed,Activity
04/11/2023 00:00, 00:40:22,21,Course,Viewed,Course
04/11/2023 00:00, 00:40:22,21,Attendence,Viewed,Report
04/11/2023 00:00, 00:40:22,21,Assignment,Viewed,Submission_status
04/11/2023 00:00, 00:40:22,21,Assignment,Viewed,Activity
04/11/2023 00:00, 00:40:22,21,Assignment,Viewed,Assignment
04/11/2023 00:00, 00:40:22,21,Course,Viewed,Content
04/11/2023 00:00, 00:40:22,21,Attendence,Viewed,Session
04/11/2023 00:00, 00:40:22,21,Assignment,Viewed,Submission_state
04/11/2023 00:00, 00:40:25,21,Course,Viewed,Course
04/11/2023 00:00, 00:40:25,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:29:40,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:29:40,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:29:40,21,Course,Viewed,Content
05/11/2023 00:00, 00:29:40,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:29:40,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:29:40,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:29:07,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:29:40,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:29:07,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:29:07,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:29:07,21,Course,Viewed,Content
05/11/2023 00:00, 00:29:07,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:29:07,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:29:07,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:29:40,21,Course,Viewed,Course
05/11/2023 00:00, 00:29:58,21,Course,Viewed,Course
05/11/2023 00:00, 00:29:58,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:30:09,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:30:09,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:30:09,21,Course,Viewed,Course
05/11/2023 00:00, 00:30:00,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:30:00,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:00,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:30:00,21,Course,Viewed,Content
05/11/2023 00:00, 00:29:58,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:30:00,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:00,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:30:00,21,Course,Viewed,Course
05/11/2023 00:00, 00:29:58,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:29:58,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:29:58,21,Course,Viewed,Content
05/11/2023 00:00, 00:29:58,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:00,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:29:58,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:24,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:09,21,Course,Viewed,Content
05/11/2023 00:00, 00:32:28,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:23,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:32:23,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:32:23,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:15,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:32:15,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:32:15,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:28,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:31:16,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:31:16,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:31:16,21,Course,Viewed,Content
05/11/2023 00:00, 00:31:16,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:31:16,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:31:16,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:31:16,21,Course,Viewed,Course
05/11/2023 00:00, 00:31:12,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:31:16,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:32:28,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:32:40,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:40,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:33:05,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:33:05,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:33:06,109,Course,Viewed,Content
05/11/2023 00:00, 00:33:06,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:33:06,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:33:03,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:33:03,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:44,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:32:44,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:32:44,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:43,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:32:43,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:32:43,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:41,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:32:41,109,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:32:41,109,Course,Viewed,Content
05/11/2023 00:00, 00:32:40,109,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:31:12,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:31:12,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:31:12,21,Course,Viewed,Content
05/11/2023 00:00, 00:31:12,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:20,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:30:20,21,Course,Viewed,Content
05/11/2023 00:00, 00:30:20,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:20,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:30:20,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:30:20,21,Course,Viewed,Course
05/11/2023 00:00, 00:30:14,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:30:14,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:14,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:30:14,21,Course,Viewed,Content
05/11/2023 00:00, 00:30:14,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:14,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:30:14,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:30:14,21,Course,Viewed,Course
05/11/2023 00:00, 00:30:09,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:30:09,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:09,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:30:20,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:09,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:20,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:30:24,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:31:12,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:31:12,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:31:12,21,Course,Viewed,Course
05/11/2023 00:00, 00:30:56,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:30:56,21,Assignment,Viewed,Submission_state
05/11/2023 00:00, 00:30:56,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:30:56,21,Course,Viewed,Content
05/11/2023 00:00, 00:30:56,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:56,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:30:56,21,Attendence,Viewed,Report
05/11/2023 00:00, 00:30:56,21,Course,Viewed,Course
05/11/2023 00:00, 00:30:24,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:29:07,21,Course,Viewed,Course
05/11/2023 00:00, 00:30:24,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:30:24,21,Course,Viewed,Content
05/11/2023 00:00, 00:30:24,21,Assignment,Viewed,Activity
05/11/2023 00:00, 00:30:24,21,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:30:24,21,Course,Viewed,Course
05/11/2023 00:00, 00:28:53,21,Assignment,Viewed,Assignment
05/11/2023 00:00, 00:06:11,144,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:28:53,21,Attendence,Viewed,Session
05/11/2023 00:00, 00:06:11,144,Course,Viewed,Course
05/11/2023 00:00, 00:06:11,144,Assignment,Viewed,Activity
05/11/2023 00:00, 00:06:14,144,Course,Viewed,Content
05/11/2023 00:00, 00:06:14,144,Course,Viewed,Course
05/11/2023 00:00, 00:06:14,144,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:06:14,144,Assignment,Viewed,Activity
05/11/2023 00:00, 00:06:15,144,Course,Viewed,Content
05/11/2023 00:00, 00:06:15,144,Course,Viewed,Course
05/11/2023 00:00, 00:06:15,144,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:06:15,144,Assignment,Viewed,Activity
05/11/2023 00:00, 00:06:17,144,Course,Viewed,Content
05/11/2023 00:00, 00:06:17,144,Course,Viewed,Course
05/11/2023 00:00, 00:06:17,144,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:06:17,144,Assignment,Viewed,Activity
05/11/2023 00:00, 00:06:18,144,Course,Viewed,Content
05/11/2023 00:00, 00:06:18,144,Course,Viewed,Course
05/11/2023 00:00, 00:06:18,144,Assignment,Viewed,Submission_status
05/11/2023 00:00, 00:06:18,144,Assignment,Viewed,Activity
05/11/2023 00:00, 00:06:19,144,Course,Viewed,Content
05/11/2023 00:00, 00:06:19,144,Course,Viewed,Course
05/11/2023 00:00, 00:06:19,144,Assignment,Viewed,Submission_status
